sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Component-based software engineering,0.7083333333333334,0.05349794238683129,12,3,5,0.02830188679245283,0.011243569862199019
Internet Assigned Numbers Authority,1.0,0.009615384615384616,1,3,3,0.009433962264150943,0.003201229864976649
IBM,1.0,0.025641025641025644,3,3,4,0.02830188679245283,0.008545854129447803
XMPP,1.0,0.07692307692307693,1,2,2,0.018867924528301886,0.003921471275644576
British Computer Society,1.0,0.017094017094017096,2,3,4,0.018867924528301886,0.005855456845531245
Telemetry,1.0,0.008547008547008548,1,3,3,0.009433962264150943,0.0031650595616146853
Symmetric-key algorithm,1.0,0.007692307692307693,1,3,3,0.009433962264150943,0.003213523171897745
Internet Engineering Task Force,0.825,0.06842973060078322,60,3,5,0.08490566037735849,0.028356930558895033
Conceptual model,0.7142857142857143,0.01027415566889251,14,3,5,0.018867924528301886,0.010483737090477077
Real-time computing,0.96875,0.05856168522835189,16,3,5,0.02830188679245283,0.012650894235079972
Voice over IP,0.52,0.012692972232445919,25,3,5,0.03773584905660377,0.014024730816263558
XMPP Standards Foundation,0.5,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Telecommunication,0.8243243243243243,0.05326371808827948,37,3,5,0.04716981132075471,0.03363865478442182
DARPA,0.6666666666666666,0.013826305273673694,9,3,5,0.018867924528301886,0.016033807060015223
User Datagram Protocol,0.7291666666666666,0.021159379931309754,18,3,5,0.04716981132075471,0.0065708590151962055
Scalability,0.9,0.012345679012345678,5,3,4,0.009433962264150943,0.0032960910237065312
Transmission Control Protocol,0.5083333333333333,0.018213690549216864,30,3,5,0.05660377358490566,0.01071912391593778
Message broker,1.0,0.07692307692307693,1,2,2,0.009433962264150943,0.0030637298892653812
Group communication system,0.3,0.007379708768597658,5,3,5,0.009433962264150943,0.0033225672034568813
Smart grid,1.0,0.019784382284382285,5,3,4,0.018867924528301886,0.004053455636962515
IBM Academy of Technology,1.0,0.008547008547008548,1,3,3,0.009433962264150943,0.0031650595616146853
Constrained Application Protocol,1.0,0.07692307692307693,1,2,2,0.009433962264150943,0.0030637298892653812
Messaging pattern,0.8571428571428571,0.09167260208926875,7,2,5,0.02830188679245283,0.006165495027234229
Channel (communications),0.7767857142857143,0.07000238268878618,28,3,5,0.04716981132075471,0.04031555826640323
Wire protocol,1.0,0.009615384615384616,1,3,3,0.009433962264150943,0.003201229864976649
Open system (computing),1.0,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Wi-Fi,0.85,0.009665480718112298,5,3,5,0.018867924528301886,0.0071869044511347225
Architectural pattern,0.9166666666666666,0.00892687559354226,6,3,5,0.009433962264150943,0.0033998149858669724
Commercial software,1.0,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Andy Stanford-Clark,1.0,0.07692307692307693,1,2,2,0.009433962264150943,0.0030637298892653812
Microservices,1.0,0.009615384615384616,1,3,3,0.009433962264150943,0.003201229864976649
Social networking service,0.8181818181818182,0.014582310963889913,22,3,5,0.02830188679245283,0.01522652538354258
Internet layer,0.5,0.006625041625041625,9,3,5,0.018867924528301886,0.00602651736184133
End-to-end principle,0.7142857142857143,0.0049700299700299695,7,3,5,0.009433962264150943,0.004911714734944856
File transfer,0.6923076923076923,0.006843485461906514,13,3,5,0.02830188679245283,0.007967695398237475
IEEE 802.15.4,0.5,0.007692307692307693,1,3,3,0.009433962264150943,0.003213523171897745
Technical standard,0.8676470588235294,0.04314065564065564,34,3,5,0.03773584905660377,0.019252288523712014
Working group,1.0,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Message passing,0.8125,0.028652263374485593,16,3,5,0.02830188679245283,0.004267078943592435
