sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
International standard,0.2905405405405405,0.02170133104966765,37,3,5,0.005319148936170213,0.0016960838336990897
Relational data stream management system,0.325,0.0017669419058307947,5,3,5,0.0026595744680851063,0.000684497858174588
Letter (alphabet),0.7613636363636364,0.009531645669049453,22,3,5,0.015957446808510637,0.0037306551489571503
Smalltalk,0.37683823529411764,0.004797252113359703,102,3,5,0.018617021276595744,0.0021208055829499252
James Gosling,0.23369565217391305,0.0014629690684540451,23,3,5,0.005319148936170213,0.000678990700554847
Sun Microsystems,0.19903846153846153,0.0030653752476507766,65,3,5,0.018617021276595744,0.0015005130442927845
Ecma International,0.46774193548387094,0.004140220336685926,31,3,5,0.010638297872340425,0.0011053224483713985
Object-oriented programming,0.34445224719101125,0.041024311060573665,178,2,5,0.06382978723404255,0.00609815595323625
Read-only memory,0.5142045454545454,0.002895163644268266,44,3,5,0.015957446808510637,0.0026016668545191216
Reference implementation,0.49952651515151514,0.006247439269900716,132,3,5,0.013297872340425532,0.0029012233047707335
Online transaction processing,1.0,0.003367003367003367,1,3,3,0.0026595744680851063,0.0006079540859706931
Web directory,0.35,0.003909846766989624,5,3,5,0.0026595744680851063,0.0007442206336375683
CUDA,0.3482142857142857,0.001865611609395049,14,3,5,0.005319148936170213,0.0005918372082684213
Power Architecture,0.35,0.0010699126132345195,10,3,5,0.005319148936170213,0.000711198037997753
Non-volatile memory,0.5282258064516129,0.006434267254905978,93,3,5,0.034574468085106384,0.00655360099669908
Telephone numbering plan,0.625,0.004734848484848485,2,3,4,0.005319148936170213,0.0008121129884123895
Subroutine,0.37938084112149534,0.015357005146351438,214,3,5,0.0398936170212766,0.009837235095012484
Æ,0.6785714285714286,0.00760570128159061,7,3,5,0.007978723404255319,0.0025832734057203302
Applied Micro Circuits Corporation,0.35,0.0011395311039056417,10,3,5,0.005319148936170213,0.0007527463614279179
C++/CLI,0.2708333333333333,0.0017885839462918572,6,3,5,0.005319148936170213,0.0005913138482294213
Computer data storage,0.666015625,0.01109719591210165,128,3,5,0.047872340425531915,0.010126522741781793
Volatile memory,0.4603658536585366,0.002403959223671498,41,3,5,0.013297872340425532,0.0024695367050346553
Technical standard,0.525,0.020449293325516944,40,3,5,0.013297872340425532,0.005339093731134925
Linux,0.32708333333333334,0.008042917435858337,120,3,5,0.02925531914893617,0.0021262122961871553
Digital data,0.7653846153846153,0.007111209847228777,65,3,5,0.010638297872340425,0.007263817348531052
Relational algebra,0.3541666666666667,0.002047525519747742,6,3,5,0.005319148936170213,0.000781472174655879
Anders Hejlsberg,0.22083333333333333,0.0023133348977315226,15,3,5,0.0026595744680851063,0.0006071993560592748
Firmware,0.5652777777777778,0.006139769585360194,90,3,5,0.018617021276595744,0.0023824974279492987
Grace Murray Hopper Award,0.375,0.004353883664228492,2,3,5,0.0026595744680851063,0.0006154105083802112
Mobile device,0.45426829268292684,0.011319409803906416,82,3,5,0.013297872340425532,0.00940665008463624
Semiconductor memory,0.375,0.0010104101931466486,4,3,5,0.0026595744680851063,0.0007898597312944009
Natural language,0.5075757575757576,0.005899408108584809,66,3,5,0.007978723404255319,0.0015205827833416664
Ruby (programming language),0.3485576923076923,0.004012707675906251,78,3,5,0.018617021276595744,0.0014655485281819898
C++03,0.2125,0.03634808321107402,10,2,5,0.007978723404255319,0.0009732084863574342
Java virtual machine,0.31746031746031744,0.0036363994433338816,63,3,5,0.018617021276595744,0.0015690438552283094
Sequence container (C++),0.28125,0.005130671797338465,4,3,5,0.0026595744680851063,0.0006413861256545559
Car,0.5416666666666666,0.004150171487128009,6,3,5,0.005319148936170213,0.0012902074605538176
JAXA,1.0,0.0012626262626262625,1,3,3,0.0026595744680851063,0.0006789464251878117
Plan 9 from Bell Labs,0.20192307692307693,0.0021581739779728106,13,3,5,0.005319148936170213,0.0008818986210762641
S (programming language),0.19318181818181818,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
Collective noun,0.5978260869565217,0.002443161746267894,23,3,5,0.0026595744680851063,0.0011674320754835894
Œ,1.0,0.0027847646424721526,2,3,5,0.0026595744680851063,0.0006192692537884866
Permissive software licence,0.3560606060606061,0.002986473229721928,33,3,5,0.010638297872340425,0.0010208283390140073
Software bug,0.4625,0.0027747520946030287,40,3,5,0.010638297872340425,0.0013860317192067758
Free Software Foundation,0.3041044776119403,0.0032159301124229933,67,3,5,0.018617021276595744,0.0016740926967845696
International Organization for Standardization,0.4970518867924528,0.07416396947619008,212,2,5,0.034574468085106384,0.004962682238101229
Instruction set,0.42282608695652174,0.02044136731329213,230,3,5,0.03723404255319149,0.01322928855750088
Alexander Stepanov,0.228125,0.002595267417311752,20,3,5,0.007978723404255319,0.0008498116096024666
Field (computer science),0.248046875,0.0021528246887938174,32,3,5,0.005319148936170213,0.001006144639773358
Computer program,0.43512024048096193,0.03788229612443886,499,3,5,0.07712765957446809,0.022568749909083318
Dynamic random-access memory,0.5059523809523809,0.0032439384462980164,42,3,5,0.013297872340425532,0.0022166142854792978
Application software,0.43665158371040724,0.04643748119672105,221,2,5,0.05585106382978723,0.012123983132847032
Parametric polymorphism,0.30580357142857145,0.0017243526366553373,28,3,5,0.007978723404255319,0.0007507202563164395
Perl,0.47067039106145253,0.010200917805859725,179,3,5,0.018617021276595744,0.0038997803461898483
Concurrent computing,0.4943181818181818,0.001991804410974188,44,3,5,0.010638297872340425,0.0009390770543290527
List of organizations with consultative status to the United Nations Economic and Social Council,0.5735294117647058,0.017111784793454727,34,3,5,0.0026595744680851063,0.0015779042329815232
Process control,0.6666666666666666,0.0021903559403559404,3,3,5,0.0026595744680851063,0.0005819255703671284
Compiled language,0.3879310344827586,0.03319617204706273,58,2,5,0.013297872340425532,0.0016562645430393133
David Musser,0.1736111111111111,0.0013095083872458344,9,3,5,0.0026595744680851063,0.0005961493275630338
OpenACC,0.4375,0.0011629934393980524,12,3,5,0.005319148936170213,0.0006350803744773866
