sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Application software,0.5666666666666667,0.0686868686868687,15,2,5,0.09090909090909091,0.0351485438325653
Visual C++,0.5,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
General-purpose programming language,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
D (programming language),0.375,0.04256102693602693,7,2,5,0.06060606060606061,0.023079875662901816
Object-oriented programming,0.3194444444444444,0.0623632154882155,18,2,5,0.12121212121212122,0.03553094829217811
Telephone exchange,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Space probe,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Embedded software,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Web search engine,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
C Sharp (programming language),0.3,0.05893308080808081,15,2,5,0.12121212121212122,0.03390014034655917
Clang,0.75,0.06060606060606061,2,2,3,0.06060606060606061,0.03130761079012316
IBM XL C/C++ Compilers,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
C++03,0.25,0.03838383838383839,4,2,5,0.06060606060606061,0.021769264460772063
Computer memory,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Computer performance,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Compiled language,0.6,0.03714225589225589,5,2,5,0.06060606060606061,0.020192653338592777
C++11,0.3,0.0595959595959596,5,2,5,0.09090909090909091,0.03420654843520207
Generic programming,0.28125,0.05158880471380472,10,2,5,0.09090909090909091,0.02897247211545297
Low-level programming language,0.4791666666666667,0.04684343434343435,12,2,5,0.06060606060606061,0.025058180376905798
C++,-1,-1,-1,-1,-1,0.42424242424242425,0.12459788446504662
Bell Labs,0.2980769230769231,0.054797979797979804,13,2,5,0.06060606060606061,0.03035370459519137
E-commerce,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Imperative programming,0.4583333333333333,0.09437079124579126,36,2,5,0.15151515151515152,0.048377176933529636
Intel C++ Compiler,0.5,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
English alphabet,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
System programming,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Bjarne Stroustrup,0.5,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
International Organization for Standardization,0.4652777777777778,0.1491477272727273,36,2,5,0.21212121212121213,0.07407105670196544
C++17,0.46875,0.05016835016835017,8,2,5,0.09090909090909091,0.026154136599409065
C++14,0.4791666666666667,0.04713804713804713,6,2,5,0.09090909090909091,0.026154136599409065
GNU Compiler Collection,0.6666666666666666,0.050505050505050504,3,2,4,0.06060606060606061,0.025793719998876984
SQL,1.0,0.030303030303030304,1,2,2,0.030303030303030304,0.016923093078001376
Java (programming language),0.38392857142857145,0.0716540404040404,21,2,5,0.15151515151515152,0.038285012485196175
C (programming language),0.525,0.11755050505050504,20,2,5,0.21212121212121213,0.0632005378001019
