sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Personal web page,0.8194444444444444,0.00017624649365870107,18,4,5,0.00030057108506161706,7.365812664642058e-05
Vehicle registration plates of Illinois,0.3333333333333333,8.969419738724931e-05,6,4,5,0.00030057108506161706,6.254887268598166e-05
Adobe Systems,0.6571428571428571,0.001978450308453696,35,3,5,0.005710850616170724,0.0002534415375340517
NoSQL,0.5789473684210527,0.007490816329200168,19,3,5,0.003907424105801022,0.00020600559523460633
Nasdaq Nordic,0.8333333333333334,0.001140853253306349,6,4,5,0.00030057108506161706,0.00013149820430440284
Fortran,0.8625,0.00023527322667627086,40,4,5,0.004508566275924256,0.00021934063788956135
States of Mexico,0.8125,2.6099422681316053e-05,8,4,5,0.0006011421701232341,0.00012888500791565841
Rebol,0.4318181818181818,7.856102973799922e-05,11,4,5,0.00030057108506161706,5.8083663100237025e-05
Yahoo! Mail,0.3055555555555556,0.0003616990778000263,18,4,5,0.0009017132551848512,0.00010610400796460649
Media conglomerate,0.6923076923076923,0.00030166336567104106,13,4,5,0.0015028554253080852,0.00017876204159001846
Metadata,0.8154761904761905,0.0014732661794638268,42,4,5,0.004809137360985873,0.0004043633580395992
Automotive industry,0.7727272727272727,0.0001732920690235838,11,4,5,0.0018034265103697023,0.00012482177050863124
List of countries by exports,1.0,7.719439263653058e-05,8,4,5,0.0009017132551848512,0.0001498939503854081
Product bundling,0.8529411764705882,0.0007632099073033091,34,4,5,0.00030057108506161706,0.0001613118650779319
Wolff Olins,0.75,0.00012804974427781444,7,4,5,0.00030057108506161706,6.393824882209521e-05
Watch,0.868421052631579,0.0002249105287370563,19,4,5,0.0012022843402464682,0.00033176735913749504
Independent telephone company,0.8333333333333334,0.00012574231324231322,3,4,5,0.0006011421701232341,6.833680129616242e-05
Semantic search,0.5,2.9842815884005816e-05,4,4,5,0.0006011421701232341,6.810058204310412e-05
Big Four (Central Pacific Railroad),0.9,2.6678752134572612e-05,5,4,5,0.00030057108506161706,5.9490846026966855e-05
Leonard Bosack,0.35,7.404626872330221e-05,5,4,5,0.00030057108506161706,6.168221816201746e-05
Networking hardware,0.6354166666666666,0.0002763831705280134,24,4,5,0.0021039975954313195,0.00034007764884991487
Wissahickon Valley Park,0.6875,4.9551785662896774e-05,4,4,5,0.0006011421701232341,8.462781465328137e-05
Roman Empire,0.84375,0.00021677424515791934,8,4,5,0.0021039975954313195,0.0008251536085245338
Ixquick,0.5,2.4219783945184403e-05,3,4,5,0.00030057108506161706,5.616427119023806e-05
Derivative work,0.546875,0.0007888578044329112,16,4,5,0.0009017132551848512,0.00018422514783431106
GoDaddy,0.46875,0.0016037314368274028,16,3,5,0.00030057108506161706,5.442566626302035e-05
Glossary,0.8125,0.00024333490885966748,12,4,5,0.00030057108506161706,8.861699331585682e-05
Hypermarket,0.5833333333333334,6.403959463511459e-05,6,4,5,0.0006011421701232341,6.878271836338803e-05
Military,0.8571428571428571,0.0005343553863290705,7,4,5,0.0015028554253080852,0.0002510881398096937
Business-to-business,0.8653846153846154,0.00010162543804934599,26,4,5,0.0009017132551848512,0.0001554308263232209
"Newton, Massachusetts",0.875,7.54202255918503e-05,4,4,5,0.00030057108506161706,6.02200403704619e-05
Middle kingdoms of India,1.0,1.1690572331304597e-05,4,4,5,0.00030057108506161706,7.993068368877161e-05
Daily Grommet,0.625,7.744448533922218e-05,4,4,5,0.00030057108506161706,5.848598735209961e-05
Reference,0.8333333333333334,0.0005542553113403316,12,4,5,0.0009017132551848512,0.00032862141453491174
Midwestern United States,0.7857142857142857,0.0005784807060448366,42,4,5,0.005710850616170724,0.00041156166495505994
Index (publishing),0.8125,0.00024333490885966748,12,4,5,0.00030057108506161706,8.861699331585682e-05
List of sovereign states,1.0,0.0002831281455716708,7,4,5,0.0015028554253080852,0.0009270115077616123
Information processor,0.875,9.82789127700098e-05,16,4,5,0.0006011421701232341,0.00016147557576323633
Maurya Empire,0.6071428571428571,1.982305654034383e-05,7,4,5,0.0012022843402464682,0.00017112863368896
Yahoo! Japan,0.35,7.244881646795522e-05,5,4,5,0.0006011421701232341,7.079158259953697e-05
Note-taking,0.5,0.00012109891972592201,3,4,5,0.00030057108506161706,6.118908004620035e-05
Economic growth,0.671875,0.0004629947686825696,16,4,5,0.0027051397655545534,0.0006529909483663443
COBOL,0.8382352941176471,0.000569964125972784,34,4,5,0.0024045686804929365,0.0001594752252892996
United States Congress,0.8035714285714286,0.00025527845457004654,28,4,5,0.005410279531109107,0.002170005595931021
Asda,0.3,4.8328181864878275e-05,5,4,5,0.00030057108506161706,5.939976505189367e-05
South Korea,0.6428571428571429,0.001672404296507746,14,3,5,0.009618274721971746,0.0009566100122152053
Edward Snowden,0.4,0.00015065153509089436,5,4,5,0.0006011421701232341,7.726106341232497e-05
Community bank,0.8125,3.008134975804987e-05,8,4,5,0.00030057108506161706,6.142995894074484e-05
Robert Recorde,0.75,0.00011662015868746638,3,4,5,0.0006011421701232341,6.0198284881209865e-05
Virtual reality,0.5913461538461539,0.00020821228087405434,26,4,5,0.0027051397655545534,0.0002766768964510761
Free software,0.6195652173913043,0.002970594822093801,69,4,5,0.009618274721971746,0.00037925113003829707
"Stanford, California",0.375,2.976235029457145e-05,7,4,5,0.0006011421701232341,6.884158146926397e-05
OCaml,0.8194444444444444,9.032328315946667e-05,18,4,5,0.0012022843402464682,6.775865003508314e-05
IP address,0.5138888888888888,0.001468787759504523,36,4,5,0.0027051397655545534,0.00036613650002638
"Dickinson County, Kansas",0.5,0.00026709401709401707,1,4,4,0.00030057108506161706,6.533727240631846e-05
Corruption in India,0.5,1.1690572331304597e-05,4,4,5,0.00030057108506161706,7.993068368877161e-05
Swift (programming language),0.7386363636363636,0.00014689693022707095,22,4,5,0.0012022843402464682,0.00010718498367043563
Natural and legal rights,0.8170731707317073,0.0007291308971721087,41,4,5,0.0012022843402464682,0.0004983140280996595
Stripe (company),1.0,0.005494505494505495,1,3,3,0.00030057108506161706,5.773466947698365e-05
NOR gate,0.875,7.50931631645121e-05,4,4,5,0.0006011421701232341,0.00013392231825973809
Television station,0.3888888888888889,0.0009322982547591362,27,4,5,0.003907424105801022,0.00025283744464017185
UltraSPARC,0.5,6.860475087899837e-05,2,4,5,0.00030057108506161706,5.47440989690479e-05
Arizona,0.4807692307692308,7.639192992455231e-05,13,4,5,0.0021039975954313195,0.00020105434734179957
X86 memory segmentation,0.390625,4.782544547231611e-05,8,4,5,0.00030057108506161706,6.070666346253093e-05
Anchor text,0.40625,0.00024333490885966748,12,4,5,0.00030057108506161706,8.861699331585682e-05
"Skidmore, Owings & Merrill",0.75,0.00017463839579224193,2,4,4,0.0006011421701232341,5.90724810944815e-05
Execution model,0.73,0.0013656933779948098,25,4,5,0.0009017132551848512,0.00021156272020188944
Client–server model,0.7121212121212122,0.00568329249501054,132,4,5,0.0036068530207394047,0.0005025725641297004
Self-organization,0.5,0.00036099166533949136,4,4,5,0.0006011421701232341,9.313019966378014e-05
AT&T,0.65,0.0005561893317052876,30,4,5,0.0033062819356777877,0.0002490586042606232
Windows Phone,0.5674342105263158,0.0024621873881645498,76,3,5,0.00510970844604749,0.000275127775425788
Front and back ends,0.6538461538461539,0.001912151151645117,13,3,5,0.0012022843402464682,8.453470776838363e-05
BlackBerry Passport,1.0,0.00011944577161968466,1,4,4,0.00030057108506161706,6.209312815179571e-05
"Mountain View, California",0.38571428571428573,0.0009468963497573416,35,3,5,0.004207995190862639,0.00020942414330189443
Armenian dram sign,0.9444444444444444,0.00011723261045884552,18,4,5,0.004809137360985873,0.0001029286950615194
List of the most populous counties in the United States,0.6875,4.680292404158755e-05,12,4,5,0.0015028554253080852,0.0001887292506974532
List of iOS devices,0.3177083333333333,0.00014216957839711814,24,4,5,0.0009017132551848512,0.000108548947591345
Game engine,0.6666666666666666,0.0001557269636864403,9,4,5,0.0009017132551848512,0.0001296944160459187
Ohio,0.7,0.00010305193286198189,10,4,5,0.0018034265103697023,0.00013397202015287554
Wolfram Research,0.3194444444444444,0.005082784436682153,9,3,5,0.0018034265103697023,0.00017929599182102098
Microsoft Visual Studio,0.6388888888888888,0.00032423307917917217,9,4,5,0.0021039975954313195,7.663952394031822e-05
DirectX,0.875,9.159242028406524e-05,4,4,5,0.0009017132551848512,7.354094928863627e-05
United States Department of Commerce,0.75,0.0006140643733222938,6,4,5,0.0018034265103697023,0.00028958426914046275
BlackBerry Classic,1.0,0.00011944577161968466,1,4,4,0.00030057108506161706,6.209312815179571e-05
Color television,0.5,0.0002152604296964065,11,4,5,0.0012022843402464682,0.00015443843319604703
Michael Arrington,0.5,0.0004807692307692308,1,4,4,0.00030057108506161706,5.9723393150524266e-05
Hypertext Transfer Protocol,0.7248263888888888,0.0054666413343955255,144,4,5,0.0069131349564171924,0.0004728047531442564
Google Daydream,0.36538461538461536,0.0007418228590833344,13,3,5,0.0006011421701232341,7.687789703621278e-05
Function type,0.8076923076923077,8.347227641806058e-05,13,4,5,0.0009017132551848512,7.114884273780347e-05
Westward Expansion Trails,0.75,0.0001368284356979582,8,4,5,0.0009017132551848512,0.00011374196031147346
Application server,0.56,0.0008640580647970435,25,4,5,0.0012022843402464682,0.00017945522581366697
Corporate spin-off,0.6774193548387096,0.002245886476197333,31,3,5,0.0030057108506161704,0.00020886474012067252
LaTeX,0.375,0.0003735873179856706,19,4,5,0.0006011421701232341,8.35691508150659e-05
Real-time operating system,0.6071428571428571,0.0002451630161559517,14,4,5,0.0012022843402464682,0.00017663155089633447
Semaphore line,0.8055555555555556,0.00015422762544473067,9,4,5,0.0009017132551848512,0.0003320801381845492
BlackBerry Z10,1.0,0.00011944577161968466,1,4,4,0.00030057108506161706,6.209312815179571e-05
Code name,0.6617647058823529,0.0002671305438871038,17,4,5,0.0009017132551848512,0.00011277967730798758
Limitations and exceptions to copyright,0.42857142857142855,0.000537517948803115,7,4,5,0.00030057108506161706,0.00015230443363625318
Wire,0.8333333333333334,0.0002304290405127906,15,4,5,0.0021039975954313195,0.002021469776993102
Motorola Mobility,0.5291666666666667,0.00014387821408426955,30,4,5,0.0018034265103697023,0.0002923702346436478
Cent (currency),0.9347826086956522,0.00017310167163513715,23,4,5,0.005410279531109107,0.0006656694048682776
Leonard Goldenson,0.2875,0.00017724229033752841,10,4,5,0.0006011421701232341,7.171223485022245e-05
IPod Touch,0.375,0.00016645853185645137,27,4,5,0.0021039975954313195,0.00015206623352076248
Telemundo,0.3557692307692308,0.0001462688920516181,13,4,5,0.0015028554253080852,7.602097566737506e-05
Google Chrome,0.5049603174603174,0.002446578813923712,126,3,5,0.006011421701232341,0.000307764411016221
Argentine austral,0.9444444444444444,0.00011723261045884553,18,4,5,0.004809137360985873,0.0001029286950615194
Program counter,0.625,0.00028893285582248796,6,4,5,0.0009017132551848512,8.5034500156357e-05
Candidate of Philosophy,0.4375,1.7083694619926505e-05,4,4,5,0.00030057108506161706,5.568649471588696e-05
Media service provider,0.6666666666666666,0.00011699948097848219,6,4,5,0.00030057108506161706,6.793522144446032e-05
Goodput,0.3125,0.00014080815516222215,4,4,5,0.00030057108506161706,6.092015508504396e-05
Turing Award,0.46153846153846156,0.0001203952068150313,13,4,5,0.0006011421701232341,0.0001174424330048619
Open-source software,0.669921875,0.044908287493251875,128,2,5,0.011722272317403064,0.0007024211330025451
Semiconductor industry,0.4318181818181818,0.0002052585114082879,11,4,5,0.0012022843402464682,9.524902097135965e-05
House music,0.4090909090909091,0.00023261599269279668,11,4,5,0.0009017132551848512,0.00010240089433130955
Implicit function,1.0,0.0001138184731934732,2,4,5,0.00030057108506161706,5.751216670888849e-05
Adobe Creative Suite,0.375,9.568981107882709e-05,6,4,5,0.0009017132551848512,8.371425170392725e-05
LTE Advanced,0.6666666666666666,0.0002243920794636804,9,4,5,0.0012022843402464682,0.00022159912377472734
Market share of personal computer vendors,0.7666666666666667,0.00010636752947352522,15,4,5,0.0015028554253080852,0.00010197738428736394
Hope (programming language),0.421875,5.011154278365738e-05,16,4,5,0.0006011421701232341,7.101214984058446e-05
Yahoo! Finance,0.3125,7.040407758111108e-05,4,4,5,0.00030057108506161706,6.645110592576748e-05
Banten,0.375,0.00010033444816053512,2,4,5,0.0006011421701232341,8.221241537283447e-05
Game artist,0.4318181818181818,0.0001128137726557899,11,4,5,0.0006011421701232341,6.921706082550515e-05
Event-driven architecture,0.5952380952380952,0.0017931681809200172,21,3,5,0.0009017132551848512,0.0001312099136787847
Research and development,0.7,0.00045027749265611335,30,4,5,0.004508566275924256,0.00036074745276419985
Gameplay,1.0,0.0001667205343675932,3,4,5,0.0006011421701232341,8.689997469642653e-05
IBM Personal Computer,0.58984375,0.00019705874507169096,32,4,5,0.0030057108506161704,0.0002217104099920109
Scalable Vector Graphics,0.6280487804878049,0.0010446325353453965,41,4,5,0.0024045686804929365,0.0001120241258812749
Dynamic programming language,0.7264492753623188,0.0023499828084245244,69,3,5,0.0033062819356777877,0.00015929670124078838
Privately held company,0.782608695652174,0.0010949135183238733,23,4,5,0.0021039975954313195,0.0007616980794010894
Empire State Building,0.4444444444444444,0.0002033198620883316,9,4,5,0.0012022843402464682,0.0001873582567200649
Game testing,0.4318181818181818,0.00010622428210248356,11,4,5,0.0006011421701232341,6.935009773448937e-05
Consistency (database systems),0.75,0.00031876954953878036,6,4,5,0.0006011421701232341,0.00010529099453890607
Post-nominal letters,0.8,2.0832382579140778e-05,5,4,5,0.0006011421701232341,6.751776988088728e-05
Strong and weak typing,0.775,0.0002979535760089759,10,4,5,0.0015028554253080852,9.052654078335506e-05
Society for Artistic Research (SAR),0.875,1.7083694619926505e-05,4,4,5,0.00030057108506161706,5.568649471588696e-05
Consolidated city-county,0.765625,0.00019903302962654716,16,4,5,0.0021039975954313195,0.00042532453311480397
Hash table,0.6985294117647058,0.00014973075947117428,17,4,5,0.0012022843402464682,9.996314989653841e-05
Normal form (abstract rewriting),0.8333333333333334,0.00023668534582883423,6,4,5,0.00030057108506161706,8.062762056326129e-05
Question answering,0.5,0.004653039268423884,7,3,5,0.0009017132551848512,8.041179955134046e-05
Competition law,0.7916666666666666,0.0017592127998602917,12,3,5,0.0021039975954313195,0.00022290902298745987
Computer file,0.7056962025316456,0.0019364369584614167,79,4,5,0.0066125638713555755,0.0006803473114209524
First-class citizen,0.8382352941176471,0.00040590535033934756,34,4,5,0.0012022843402464682,0.000137946448449541
Google Flu Trends,0.5,2.4219783945184403e-05,3,4,5,0.00030057108506161706,5.616427119023806e-05
Lenovo smartphones,0.40625,4.145304888703401e-05,8,4,5,0.0006011421701232341,8.456067975979312e-05
Social network,0.7321428571428571,0.0003367548632583546,28,4,5,0.0021039975954313195,0.00025361301709117496
Cinema of the United States,0.6,0.00016461913290957407,5,4,5,0.0009017132551848512,9.264615308676167e-05
Demographics of India,0.5,1.1690572331304597e-05,4,4,5,0.00030057108506161706,7.993068368877161e-05
Windows Server 2003,0.75,9.004991035145312e-05,4,4,5,0.0009017132551848512,6.989775502998389e-05
Windows Server 2008,0.8333333333333334,8.758123914941791e-05,3,4,5,0.0009017132551848512,7.106347846299513e-05
Merb,0.375,0.0001816365452729089,2,4,5,0.00030057108506161706,5.385351523690733e-05
Search algorithm,0.7,0.00014640861281966003,15,4,5,0.0006011421701232341,7.060676893964477e-05
Government of the United Kingdom,0.6833333333333333,0.0008735368076066077,15,4,5,0.0015028554253080852,0.0003077609115082335
"Stamford, Connecticut",0.5,0.00043549427405702705,7,4,5,0.0015028554253080852,0.00018034388599844848
United Technologies,0.8125,3.008134975804987e-05,8,4,5,0.00030057108506161706,6.142995894074484e-05
Neural machine translation,0.40625,0.00015199649066925954,4,4,5,0.0006011421701232341,0.00015801003743448093
Altitude,0.8571428571428571,0.00021583034705196656,7,4,5,0.0009017132551848512,0.0004898242639671208
JavaScript,0.6030534351145038,0.06828360997361055,131,2,5,0.01653140967838894,0.00046620258842385096
