sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Free and open-source software,0.5181159420289855,0.017776153607942907,69,3,5,0.026041666666666664,0.0028743622422455414
Image editing,0.7307692307692307,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Operating system,0.75,0.023456807476013936,179,3,5,0.05989583333333333,0.007625857744055
Conglomerate (company),0.6190476190476191,0.005415953411321523,42,3,5,0.015625,0.0031866570241709923
JQuery,0.46875,0.007094692409377724,4,3,5,0.005208333333333333,0.001051032615039715
Breakfast television,0.75,0.004006410256410256,2,3,4,0.005208333333333333,0.0008565032134181927
Fragment identifier,1.0,0.002958579881656805,1,3,3,0.0026041666666666665,0.0006120850604764128
Microsoft Silverlight,0.7857142857142857,0.003939191990434227,7,3,5,0.010416666666666666,0.000802173699113118
Gordon Moore,0.34375,0.001725838264299803,8,3,5,0.005208333333333333,0.005409208296081839
Web server,0.7356459330143541,0.021757517028882,209,3,5,0.03125,0.0067702146702331
Stephen Wolfram,0.3541666666666667,0.0073582995951417,6,3,5,0.0078125,0.0015941861566834527
Equation,0.9375,0.00489333797400159,8,3,5,0.005208333333333333,0.001555240450051054
.NET Framework,0.8571428571428571,0.0024619449962699387,7,3,5,0.005208333333333333,0.0008443951898184424
Wolfram Research,0.3541666666666667,0.007742914979757085,6,3,5,0.0078125,0.001652097138571019
Marcelo Claure,0.4166666666666667,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
High-level programming language,0.6953125,0.006366759723367115,96,3,5,0.015625,0.002591650962124229
MongoDB Inc.,0.2857142857142857,0.005246633276936308,7,3,5,0.0026041666666666665,0.0008479908228192314
Variable (computer science),0.8201754385964912,0.0422773901570315,57,2,5,0.020833333333333332,0.005042650594641799
Array data type,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
Groupon,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Parsing,0.6153846153846154,0.00921199835573036,39,3,5,0.013020833333333332,0.0027314389226896297
Virgin Mobile USA,0.4166666666666667,0.0016519999250262409,3,3,5,0.005208333333333333,0.0008264315569479552
BlackBerry,1.0,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
Standard library,0.592391304347826,0.0035419572776865006,46,3,5,0.005208333333333333,0.0010868055821075025
ABC News,0.5625,0.03851161858974359,2,2,5,0.015625,0.00188672498182938
Copyright,0.6691176470588235,0.013677184667743843,34,3,5,0.0078125,0.002733439128671933
User experience,1.0,0.002958579881656805,1,3,3,0.0026041666666666665,0.0006120850604764128
Stanford University,0.6458333333333334,0.0014157920353496977,24,3,5,0.0078125,0.0010884077419876287
Steve Burke (businessman),0.8,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Code reuse,0.8362068965517241,0.009420233289706495,29,3,5,0.0078125,0.0011385621780919848
User interface,0.6513157894736842,0.01559739989219122,76,3,5,0.020833333333333332,0.006212217781375687
Microprocessor,0.5760869565217391,0.004251392364761715,23,3,5,0.010416666666666666,0.018796659220703477
Holding company,0.75,0.003351296475581372,13,3,5,0.0078125,0.0012950741286126936
Website,0.5416666666666666,0.016000911568815616,108,3,5,0.020833333333333332,0.006492019248362865
Android (operating system),0.6092814371257484,0.01626027516277486,167,3,5,0.05989583333333333,0.007537464709210567
Architectural pattern,0.75,0.003004099256959669,6,3,5,0.0078125,0.0010325874271009939
Symbol,0.8823529411764706,0.020370362636248925,17,3,5,0.005208333333333333,0.006482479021124178
Mozilla,1.0,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
Distributed development,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Google Wifi,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Chicago metropolitan area,0.4642857142857143,0.010897435897435897,7,3,5,0.005208333333333333,0.002734997224006429
Formal grammar,0.5,0.006626752354699679,9,3,5,0.005208333333333333,0.0014106723563096731
Express.js,0.375,0.04195804195804196,2,2,3,0.005208333333333333,0.0006520597324063664
Database,0.7752808988764045,0.02208654665133007,89,3,5,0.026041666666666664,0.006650275835633113
Computer programming,0.8671875,0.018122587104613695,128,3,5,0.03645833333333333,0.004904193716269446
Project Fi,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
CenturyLink,0.75,0.002453281976308292,4,3,5,0.005208333333333333,0.0009774637602253332
Apache License,0.5714285714285714,0.005246633276936308,7,3,5,0.0026041666666666665,0.0008479908228192314
Google Hangouts,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Sinatra (software),0.375,0.003814367450731088,2,3,4,0.0026041666666666665,0.0006231316403303409
MongoDB,0.6979166666666666,0.05036302189161652,24,2,5,0.015625,0.0029141167741152073
Threading Building Blocks,0.4,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Millward Brown,0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Regular expression,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
DigitalOcean,1.0,0.005494505494505495,1,3,3,0.0026041666666666665,0.0006458058434961235
